snapshot,bus,margin,sigma0_G,battery_gfm_contribution
257.0,16.0,-9.094947017729282e-13,0.0,1725.9289075641427
258.0,16.0,-9.094947017729282e-13,0.0,1725.9289075641427
1.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
1.0,18.0,-4.547473508864641e-13,7.105427357601002e-15,2005.0916570047143
2.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
4.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
5.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
5.0,29.0,-4.547473508864641e-13,0.0,1687.7576645385097
6.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
7.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
7.0,29.0,-4.547473508864641e-13,0.0,1687.7576645385097
8.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
9.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
10.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
11.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
12.0,31.0,-4.547473508864641e-13,0.0,3117.2608151366794
12.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
14.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
17.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
18.0,33.0,-4.547473508864641e-13,0.0,2150.633853444186
