bus,installed_capacity_GW
1.0,0.008700000000000006
2.0,38.2601175078337
3.0,1.1
4.0,50.52671526878539
5.0,24.89730677657437
6.0,33.238714120039354
7.0,31.935027836706606
8.0,26.849181692593486
9.0,38.6
10.0,22.644235968300247
11.0,10.623031982777363
12.0,0.0
13.0,0.0
14.0,28.396064162736497
15.0,22.845902922676686
16.0,34.51857815128285
17.0,38.38675098551814
18.0,40.10183314009429
19.0,14.85613292169278
20.0,36.37333444223519
21.0,29.651526810341075
22.0,29.55703407196751
23.0,35.1292680755675
24.0,13.126968017222639
25.0,10.85
26.0,0.6
27.0,2.31
28.0,3.0
29.0,33.75515329077019
30.0,13.229628806718392
31.0,62.34521630273359
32.0,0.0
33.0,43.01267706888372
34.0,7.0670567829192805
35.0,24.85131736628714
36.0,4.75
37.0,13.76
