scenario_name,carrier,type,mean_dispatch_utilization,p05_dispatch_utilization,p50_dispatch_utilization,p95_dispatch_utilization,max_dispatch_utilization
BASE,CCGT,gfm,0.8217336395745811,,,,
BASE,OCGT,gfm,1.0,,,,
BASE,offwind-ac,gfl,0.8406640398993456,,,,
BASE,onwind,gfl,0.6895167591577512,,,,
BASE,ror,gfm,0.8837308356332335,,,,
BASE,solar,gfl,0.6983853271390126,,,,
BASE,biomass,gfm,0.8646708204806484,,,,
BASE,offwind-dc,gfl,0.7536679272562143,,,,
BASE,nuclear,gfm,0.8663767431032121,,,,
BASE,geothermal,gfl,1.0,,,,
BASE,hydro,gfm,0.8957858717006542,,,,
BASE,PHS,gfm,0.2355345500017326,,,,
BASE,battery_gfl,gfl,0.0,,,,
BASE,battery_gfm,gfm,0.0,,,,
gSCR-GERSH-1.0,CCGT,gfm,0.9779996778345711,,,,
gSCR-GERSH-1.0,OCGT,gfm,1.0,,,,
gSCR-GERSH-1.0,offwind-ac,gfl,1.0000000000000007,,,,
gSCR-GERSH-1.0,onwind,gfl,1.0,,,,
gSCR-GERSH-1.0,ror,gfm,0.8201021213251157,,,,
gSCR-GERSH-1.0,solar,gfl,1.0,,,,
gSCR-GERSH-1.0,biomass,gfm,0.9748683501318316,,,,
gSCR-GERSH-1.0,offwind-dc,gfl,1.0,,,,
gSCR-GERSH-1.0,nuclear,gfm,0.9685144000533397,,,,
gSCR-GERSH-1.0,geothermal,gfl,0.0,,,,
gSCR-GERSH-1.0,hydro,gfm,0.9441404959209709,,,,
gSCR-GERSH-1.0,PHS,gfm,0.5912115515605469,,,,
gSCR-GERSH-1.0,battery_gfl,gfl,0.44554455445544555,,,,
gSCR-GERSH-1.0,battery_gfm,gfm,0.2654560278409151,,,,
gSCR-GERSH-1.5,CCGT,gfm,0.9760739286825234,,,,
gSCR-GERSH-1.5,OCGT,gfm,1.0,,,,
gSCR-GERSH-1.5,offwind-ac,gfl,1.0,,,,
gSCR-GERSH-1.5,onwind,gfl,1.0,,,,
gSCR-GERSH-1.5,ror,gfm,0.8000264356300011,,,,
gSCR-GERSH-1.5,solar,gfl,1.0,,,,
gSCR-GERSH-1.5,biomass,gfm,0.9731686773426477,,,,
gSCR-GERSH-1.5,offwind-dc,gfl,1.0,,,,
gSCR-GERSH-1.5,nuclear,gfm,0.9627812709621844,,,,
gSCR-GERSH-1.5,geothermal,gfl,0.0,,,,
gSCR-GERSH-1.5,hydro,gfm,0.9399820105449044,,,,
gSCR-GERSH-1.5,PHS,gfm,0.5903367548117207,,,,
gSCR-GERSH-1.5,battery_gfl,gfl,0.375,,,,
gSCR-GERSH-1.5,battery_gfm,gfm,0.8813194693235739,,,,
