carrier,generation,storage_discharge,storage_charge
CCGT,3.047565126600472e6,0.0,0.0
OCGT,6600.0,0.0,0.0
PHS,0.0,1.295716e6,0.0
battery_gfl,0.0,1.4210854715202004e-13,0.0
battery_gfm,0.0,4.0,4.0
biomass,343900.0,0.0,0.0
coal,387040.57900092495,0.0,0.0
geothermal,920.0,0.0,0.0
hydro,0.0,2.305238991789072e6,0.0
lignite,857303.2405326521,0.0,0.0
nuclear,525856.6865628869,0.0,0.0
offwind-ac,35763.817438975355,0.0,0.0
offwind-dc,111459.904074927,0.0,0.0
oil,49866.21353371606,0.0,0.0
onwind,77656.19424855565,0.0,0.0
ror,1.0839126834971427e6,0.0,0.0
solar,129506.80210716242,0.0,0.0
