scenario_name,panel,technology_or_carrier,value,unit
BASE,expansion_mix,Wind,0.0,GW
BASE,expansion_mix,Solar PV,0.0,GW
BASE,expansion_mix,Gas,0.0,GW
BASE,expansion_mix,BESS-GFL,0.0,GW
BASE,expansion_mix,BESS-GFM,0.0,GW
BASE,energy_mix,Wind,1255.1242873686595,TWh_per_year_equiv
BASE,energy_mix,Solar PV,929.501704094995,TWh_per_year_equiv
BASE,energy_mix,Gas,44.828418915098005,TWh_per_year_equiv
BASE,energy_mix,BESS discharge,0.0,TWh_per_year_equiv
gSCR-GERSH-1.0,expansion_mix,Wind,0.0,GW
gSCR-GERSH-1.0,expansion_mix,Solar PV,0.05460000000000001,GW
gSCR-GERSH-1.0,expansion_mix,Gas,0.0,GW
gSCR-GERSH-1.0,expansion_mix,BESS-GFL,0.002,GW
gSCR-GERSH-1.0,expansion_mix,BESS-GFM,414.8031829821719,GW
gSCR-GERSH-1.0,energy_mix,Wind,174.22876887468678,TWh_per_year_equiv
gSCR-GERSH-1.0,energy_mix,Solar PV,111.17015789011887,TWh_per_year_equiv
gSCR-GERSH-1.0,energy_mix,Gas,1312.8895708219547,TWh_per_year_equiv
gSCR-GERSH-1.0,energy_mix,BESS discharge,961.9396482153217,TWh_per_year_equiv
gSCR-GERSH-1.5,expansion_mix,Wind,0.0,GW
gSCR-GERSH-1.5,expansion_mix,Solar PV,0.006700000000000006,GW
gSCR-GERSH-1.5,expansion_mix,Gas,0.0,GW
gSCR-GERSH-1.5,expansion_mix,BESS-GFL,0.001,GW
gSCR-GERSH-1.5,expansion_mix,BESS-GFM,821.1497744732582,GW
gSCR-GERSH-1.5,energy_mix,Wind,175.18679065083708,TWh_per_year_equiv
gSCR-GERSH-1.5,energy_mix,Solar PV,136.57675394519643,TWh_per_year_equiv
gSCR-GERSH-1.5,energy_mix,Gas,1305.8942970998194,TWh_per_year_equiv
gSCR-GERSH-1.5,energy_mix,BESS discharge,6322.202308428716,TWh_per_year_equiv
